id,home_team_win
0,False
1,False
2,False
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,False
12,False
13,True
14,False
15,True
16,False
17,False
18,False
19,False
20,True
21,True
22,False
23,True
24,True
25,True
26,True
27,False
28,False
29,True
30,False
31,True
32,False
33,True
34,True
35,True
36,False
37,True
38,True
39,True
40,False
41,False
42,True
43,True
44,False
45,True
46,True
47,True
48,True
49,True
50,True
51,False
52,True
53,False
54,True
55,False
56,True
57,False
58,False
59,True
60,True
61,True
62,True
63,True
64,False
65,False
66,True
67,True
68,True
69,True
70,False
71,True
72,False
73,False
74,True
75,True
76,False
77,True
78,True
79,False
80,False
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,False
89,False
90,False
91,False
92,False
93,True
94,False
95,False
96,True
97,False
98,True
99,True
100,True
101,True
102,True
103,True
104,True
105,True
106,False
107,False
108,True
109,True
110,False
111,False
112,True
113,False
114,True
115,True
116,True
117,True
118,False
119,True
120,True
121,True
122,False
123,True
124,True
125,False
126,True
127,False
128,True
129,True
130,False
131,True
132,True
133,False
134,False
135,False
136,False
137,True
138,False
139,False
140,True
141,False
142,False
143,False
144,True
145,False
146,True
147,True
148,True
149,False
150,False
151,False
152,True
153,False
154,True
155,False
156,True
157,True
158,False
159,False
160,False
161,False
162,False
163,True
164,True
165,True
166,False
167,False
168,True
169,True
170,True
171,False
172,False
173,True
174,True
175,False
176,True
177,True
178,False
179,False
180,True
181,False
182,True
183,False
184,True
185,False
186,False
187,True
188,True
189,True
190,True
191,False
192,False
193,True
194,True
195,True
196,True
197,True
198,False
199,True
200,False
201,True
202,False
203,True
204,False
205,True
206,False
207,False
208,False
209,True
210,True
211,True
212,True
213,True
214,False
215,True
216,False
217,True
218,False
219,False
220,True
221,False
222,True
223,True
224,False
225,True
226,False
227,True
228,False
229,True
230,True
231,True
232,True
233,False
234,False
235,True
236,False
237,True
238,False
239,True
240,True
241,False
242,True
243,False
244,True
245,True
246,False
247,True
248,True
249,True
250,False
251,False
252,True
253,True
254,False
255,True
256,True
257,True
