home_team_abbr,away_team_abbr,home_team_wins_mean,away_team_wins_mean,home_team_wins_mean,away_team_wins_mean,home_team_wins_mean,away_team_wins_mean,date,is_night_game
11,22,,,,,,,2016-04-03,False
26,0,,,,,,,2016-04-03,False
9,12,,,,,,,2016-04-03,True
1,20,,,,,,,2016-04-04,False
28,10,,,,,,,2016-04-04,False
15,7,,,,,,,2016-04-04,False
2,14,,,,,,,2016-04-04,False
23,29,,,,,,,2016-04-04,False
19,18,,,,,,,2016-04-04,False
27,4,,,,,,,2016-04-04,True
17,16,,,,,,,2016-04-04,True
25,13,,,,,,,2016-04-04,True
11,22,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-04,True
9,12,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-05,False
25,13,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-05,True
28,10,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-05,True
1,20,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-05,True
24,8,,,,,,,2016-04-05,True
3,21,,,,,,,2016-04-05,True
11,22,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-05,True
27,4,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-05,True
19,18,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-05,True
26,0,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-05,True
6,5,,,,,,,2016-04-05,True
17,16,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-05,
6,5,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,False
27,4,-0.008791092,-0.011663843,-0.008791092,-0.011663843,-0.008791092,-0.011663843,2016-04-06,False
11,22,-1.466430922,1.433772526,-1.466430922,1.433772526,-1.466430922,1.433772526,2016-04-06,False
19,18,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,False
3,21,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,True
23,29,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-06,True
28,10,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,True
15,7,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,True
24,8,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,True
26,0,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-06,True
17,16,-4.381710582,4.324645264,-4.381710582,4.324645264,-4.381710582,4.324645264,2016-04-06,True
1,20,-0.008791092,-0.011663843,-0.008791092,-0.011663843,-0.008791092,-0.011663843,2016-04-06,
2,14,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-06,
24,8,-0.008791092,-0.011663843,-0.008791092,-0.011663843,-0.008791092,-0.011663843,2016-04-07,False
7,6,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-07,False
2,14,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-07,False
17,16,-1.466430922,1.433772526,-1.466430922,1.433772526,-1.466430922,1.433772526,2016-04-07,False
18,10,1.448848738,4.324645264,1.448848738,4.324645264,1.448848738,4.324645264,2016-04-07,False
25,1,-4.381710582,-1.457100212,-4.381710582,-1.457100212,-4.381710582,-1.457100212,2016-04-07,True
27,13,-1.466430922,4.324645264,-1.466430922,4.324645264,-1.466430922,4.324645264,2016-04-07,True
23,29,4.364128398,-4.34797295,4.364128398,-4.34797295,4.364128398,-4.34797295,2016-04-07,True
5,24,,1.433772526,,1.433772526,,1.433772526,2016-04-08,False
4,28,1.448848738,,1.448848738,,1.448848738,,2016-04-08,False
12,14,-0.008791092,-4.34797295,-0.008791092,-4.34797295,-0.008791092,-4.34797295,2016-04-08,False
16,3,,-0.011663843,,-0.011663843,,-0.011663843,2016-04-08,False
19,8,-1.466430922,-1.457100212,-1.466430922,-1.457100212,-1.466430922,-1.457100212,2016-04-08,True
20,17,1.448848738,-2.179818397,1.448848738,-2.179818397,1.448848738,-2.179818397,2016-04-08,True
15,0,-4.381710582,-4.34797295,-4.381710582,-4.34797295,-4.381710582,-4.34797295,2016-04-08,True
